TIMESTAMP,T_HMP,T_109,RH,WS_MAX,WS_AVG,WDIR,WS_MAX_2,WS_AVG_2,WDIR_2,PRESS
5/23/2019 1:00,-23.87,-18.41,77.86,5.531,1.652,37.61,5.331,0.789,8.08,354.94
5/23/2019 2:00,-23.78,-17.95,77.79,5.464,2.012,47.27,5.398,1.743,22.46,355.3
5/23/2019 3:00,-23.79,-18.54,78.58,6.731,2.081,37.2,6.731,1.879,12.76,355.48
5/23/2019 4:00,-22.99,-13.93,79.59,6.331,2.089,32.54,6.397,1.823,9.84,355.6
5/23/2019 5:00,-22.1,-12.02,78.6,8.43,2.075,30.18,8.46,1.891,4.621,355.4
5/23/2019 6:00,-21.71,-8.43,75.97,8.86,1.897,35.48,8.9,1.67,10.49,355.38
5/23/2019 7:00,-22.68,-11.29,78.43,8.36,2.564,51.14,8.23,2.235,25.04,355.13
5/23/2019 8:00,-21.85,-10.04,77.81,7.963,2.24,51.39,8.26,1.922,27.66,354.83
5/23/2019 9:00,-21.33,-8.67,76.89,10.73,2.359,42.58,10.73,1.997,15.52,354.37
5/23/2019 10:00,-21.86,-12.43,77.92,11.23,2.895,46.36,11.06,2.543,20.09,354.31
5/23/2019 11:00,-22.83,-17.55,78.32,10.83,2.483,72.25,10.16,2.028,40.72,354.49
5/23/2019 12:00,-23.24,-19.54,77.21,11.2,2.239,56.24,10.66,1.88,26.51,354.61
5/23/2019 13:00,-24.64,-22.79,77.21,7.797,2.117,23.01,7.83,1.868,1.062,354.7
5/23/2019 14:00,-25.74,-26.09,76.65,8.93,4.112,11.42,8.96,3.785,345.5,354.77
5/23/2019 15:00,-26.03,-26.48,77,8.1,4.265,353.1,8.03,3.784,328,355.2
5/23/2019 16:00,-26.06,-26.5,77.02,5.798,1.868,312.2,5.998,0.901,294.7,355.41
5/23/2019 17:00,-26.38,-26.98,77.22,8.33,2.898,344.5,7.997,2.134,320.5,355.64
5/23/2019 18:00,-26.3,-26.7,76.34,8.33,3.558,353.2,8.03,2.914,327.4,355.42
5/23/2019 19:00,-26.44,-26.79,76.69,7.897,3.663,0.243,7.73,2.965,334.8,355.17
5/23/2019 20:00,-26.23,-26.28,77,6.864,2.661,342.8,6.597,1.892,322.9,355.07
5/23/2019 21:00,-26.38,-26.49,76.65,6.797,2.769,352.3,6.831,1.953,324.2,354.71
5/23/2019 22:00,-26.16,-26.06,76.51,6.897,3.33,348.1,6.831,2.614,323,354.89
5/23/2019 23:00,-25.98,-25.86,76.38,7.963,3.558,359.6,7.73,2.876,333.6,355.13
5/24/2019 0:00,-26.18,-24.38,76.38,9,3.93,5.697,8.2,2.922,343.3,355.42
5/24/2019 1:00,-24.75,-19.89,76.33,7.464,2.724,33.11,6.164,1.157,10.48,355.87
5/24/2019 2:00,-23.64,-17.81,76.36,7.83,2.663,39.43,6.864,0.76,16.44,356.3
5/24/2019 3:00,-22.32,-14.42,78.5,6.597,1.448,56.81,4.731,0.067,26.22,356.56
5/24/2019 4:00,-21.51,-12.36,76.99,5.198,1.66,50.87,4.032,0.327,23.8,356.67
5/24/2019 5:00,-21.55,-11.97,77.91,5.964,2.126,54.32,5.598,1.014,24.49,356.74
5/24/2019 6:00,-21.05,-9.24,77.85,7.83,2.646,39.5,7.297,1.104,7.41,356.68
5/24/2019 7:00,-20.96,-9.15,77.02,9.73,2.983,49.47,8.53,1.978,21.63,356.52
5/24/2019 8:00,-21.39,-10.78,77.84,10.13,3.47,45.8,10.03,1.672,17.58,356.18
5/24/2019 9:00,-21.77,-12.43,79.65,9.2,3.016,57.07,9,2.177,21.98,355.98
5/24/2019 10:00,-20.6,-10.96,79.02,12.83,2.975,37.48,13.43,2.636,13.34,355.67
5/24/2019 11:00,-21.48,-15.97,78.94,9.83,3.102,44.46,9.56,2.865,19.27,355.44
5/24/2019 12:00,-21.87,-17.39,78.74,8.8,2.873,41.81,8.66,2.626,15.83,355.49
5/24/2019 13:00,-22.61,-21.65,78.51,9.56,3.077,178.2,9.43,2.619,147.7,355.63
5/24/2019 14:00,-24.05,-24.47,78.82,9,2.268,244,9.36,1.539,202.1,355.96
5/24/2019 15:00,-23.95,-23.98,78.52,8.5,2.619,226.8,8.4,1.373,182.5,-999
5/24/2019 16:00,-23.43,-23.02,78.98,9.1,2.609,208.9,9.3,2.145,185.3,356.46
5/24/2019 17:00,-23.01,-22.62,79.11,7.097,2.99,300.4,7.364,2.388,269.1,356.32
5/24/2019 18:00,-23.24,-23.44,79.08,4.232,1.114,353.3,3.832,0.417,320.4,356.1
5/24/2019 19:00,-23.24,-23.49,79.04,8.53,1.79,342.8,8.46,0.87,315.1,355.83
5/24/2019 20:00,-23.77,-23.99,78.62,8.73,3.794,5.764,8.13,2.897,339.3,355.33
5/24/2019 21:00,-24.33,-24.72,77.92,8.26,4.274,9.97,8.13,3.73,345.5,354.79
5/24/2019 22:00,-24.88,-25.2,78.37,9.06,5.068,4.699,8.96,4.615,339.4,354.97
5/24/2019 23:00,-24.92,-25.25,77.37,9.43,3.83,24.25,9.56,3.074,359.6,354.72
5/25/2019 0:00,-25.42,-24.06,77.57,10.53,5.622,10.14,10.5,5.218,345,354.67
5/25/2019 1:00,-24.59,-21.2,77.22,9.1,3.599,35.13,8.93,3.355,6.428,354.89
5/25/2019 2:00,-23.76,-18.95,76.96,10.03,3.667,42.09,9.76,3.169,16.15,355.09
5/25/2019 3:00,-23.06,-17.68,77.47,9.33,3.711,52.42,9.1,3.283,26,355.1
5/25/2019 4:00,-22.61,-15.73,77.56,11.1,3.942,53.66,10.96,3.52,28.35,354.99
5/25/2019 5:00,-22.07,-14.23,77.72,13.16,4.407,42.15,12.99,4.073,16.98,355.01
5/25/2019 6:00,-21.89,-12.8,77.46,12.63,4.829,42.95,12.76,4.628,17.64,354.47
5/25/2019 7:00,-21.71,-12.39,78.62,12.63,4.986,46.18,12.66,4.794,21.26,354.55
5/25/2019 8:00,-21.99,-12.88,78.23,12,4.962,47.26,11.9,4.757,23.1,354.31
5/25/2019 9:00,-22.07,-12.98,77.42,12.83,4.345,45.85,12.69,4.14,21.76,353.95
5/25/2019 10:00,-22.35,-15.32,77.99,8.76,4.517,49.18,8.73,4.329,22.71,353.83
5/25/2019 11:00,-23.26,-18.73,77.34,11.36,4.892,43.43,11.23,4.699,16.97,353.45
5/25/2019 12:00,-25.04,-23.91,77.4,12.96,6.751,15.29,12.93,6.637,349.4,353.42
5/25/2019 13:00,-24.96,-24.46,77.67,11.43,6.361,15.19,11.4,6.181,348.8,353.68
5/25/2019 14:00,-24.39,-24.1,79.14,11.1,4.948,16.04,10.93,4.619,350.1,353.86
5/25/2019 15:00,-23.33,-23.36,79.47,9.6,5.207,9.87,9.5,4.905,343.5,354.23
5/25/2019 16:00,-22.7,-23.08,79.18,9.36,4.049,2.9,9.36,3.679,335.7,354.47
5/25/2019 17:00,-22.51,-22.88,79.6,9.3,3.668,336.2,9.36,3.265,310.2,354.37
5/25/2019 18:00,-22.62,-22.91,79.66,13.46,4.667,268,13.89,4.345,243,353.79
5/25/2019 19:00,-22.75,-22.73,68.09,22.12,14.14,257.6,22.29,14.17,233.1,353.29
5/25/2019 20:00,-24.83,-24.6,46.78,20.13,8.07,266.6,20.59,7.582,240.6,352.51
5/25/2019 21:00,-25.12,-25.17,44.08,25.12,6.269,340.4,25.56,5.369,315.7,352.52
5/25/2019 22:00,-25.9,-26.28,53.9,9.36,4.49,356.9,9.46,3.604,330.1,352.36
5/25/2019 23:00,-26.48,-26.84,43.69,12.69,5.298,352.6,13.26,4.586,327.5,352.2
5/26/2019 0:00,-26.9,-26,50.33,12.1,6.249,18.77,11.83,5.73,354.3,352.23
