TIMESTAMP,T_HMP,T_109,RH,WS_MAX,WS_AVG,WDIR,SW_IN_AVG,SW_OUT_AVG,LW_IN_AVG,LW_OUT_AVG,PRESS
2019-05-09 08:00:00,-7.274,-6.59,20.703,10.94,4.83,315.7,1217.305,186.059,174.537,418.755,461.763
2019-05-09 09:00:00,-7.121,-6.12,22.001,9.57,4.543,320.9,1093.119,170.875,176.071,417.519,-999.0
2019-05-09 10:00:00,-5.747,-4.357,24.46,6.936,2.335,288.3,895.264,143.855,180.072,418.075,-999.0
2019-05-09 11:00:00,-5.653,-4.471,24.828,5.187,1.662,293.3,656.02,109.504,180.046,395.773,-999.0
2019-05-09 12:00:00,-6.577,-5.103,31.983,4.845,1.586,266.1,384.12,66.613,178.82,359.941,-999.0
2019-05-09 13:00:00,-8.04,-7.825,31.833,4.351,2.05,295.5,101.247,18.345,174.268,315.086,-999.0
2019-05-09 14:00:00,-8.36,-8.11,28.623,8.5,1.57,307.3,-4.522,0.425,168.056,286.239,-999.0
2019-05-09 15:00:00,-8.49,-8.38,23.669,4.479,1.109,298.4,-4.455,0.173,167.38,276.126,-999.0
2019-05-09 16:00:00,-8.86,-8.69,24.37,4.457,1.27,347.2,-4.323,0.05,167.606,270.508,-999.0
2019-05-09 17:00:00,-8.77,-8.73,22.504,5.348,1.696,32.45,-4.144,0.055,167.479,267.806,-999.0
2019-05-09 18:00:00,-9.03,-8.78,22.203,3.679,1.578,28.54,-3.938,0.061,167.908,265.421,-999.0
2019-05-09 19:00:00,-9.07,-8.8,22.967,12.97,2.18,29.24,-4.029,0.045,167.403,263.82,-999.0
2019-05-09 20:00:00,-8.8,-8.53,22.511,7.622,2.906,33.67,-3.866,0.067,167.571,263.772,-999.0
2019-05-09 21:00:00,-8.81,-8.57,22.088,10.63,3.597,17.76,-3.905,0.045,165.988,263.724,-999.0
2019-05-09 22:00:00,-8.97,-8.82,21.676,8.16,3.445,4.341,-4.089,0.068,164.678,262.597,-999.0
2019-05-09 23:00:00,-9.23,-8.96,21.526,7.861,2.872,1.933,-4.057,0.079,166.601,261.474,-999.0
2019-05-10 00:00:00,-9.3,-9.08,21.004,7.505,2.444,34.08,-0.161,0.269,166.268,260.369,-999.0
2019-05-10 01:00:00,-9.44,-8.99,21.1,5.864,2.774,26.78,15.227,2.406,165.771,261.258,-999.0
2019-05-10 02:00:00,-9.16,-8.76,18.827,7.103,2.667,21.88,50.868,8.315,164.572,264.584,-999.0
2019-05-10 03:00:00,-8.69,-8.22,15.51,6.184,2.653,355.6,148.093,23.649,168.798,274.404,-999.0
2019-05-10 04:00:00,-8.27,-7.636,17.82,5.787,2.179,347.2,361.263,56.759,174.946,298.92,-999.0
2019-05-10 05:00:00,-7.654,-6.587,24.514,7.497,3.334,325.6,806.773,124.88,178.139,347.535,-999.0
2019-05-10 06:00:00,-6.326,-4.738,25.805,7.875,2.722,329.5,1259.327,194.616,180.744,416.867,-999.0
2019-05-10 07:00:00,-6.548,-5.706,25.703,6.195,2.802,14.97,1202.204,186.11,194.562,445.183,-999.0
2019-05-10 08:00:00,-6.52,-4.772,22.667,7.716,3.36,44.26,1212.039,187.632,188.895,434.659,-999.0
2019-05-10 09:00:00,-7.062,-5.798,29.76,9.32,3.333,17.15,1007.668,156.866,196.235,421.998,-999.0
2019-05-10 10:00:00,-7.537,-6.368,40.74,7.328,3.198,321.3,903.589,143.424,193.105,407.842,-999.0
2019-05-10 11:00:00,-7.819,-7.254,49.035,6.297,3.233,338.2,610.79,100.497,192.03,380.629,-999.0
2019-05-10 12:00:00,-7.876,-6.71,23.186,9.59,2.378,328.5,322.267,54.16,205.66,339.258,-999.0
2019-05-10 13:00:00,-8.52,-8.18,18.813,6.917,2.731,339.5,75.758,13.61,171.101,303.844,-999.0
2019-05-10 14:00:00,-9.12,-8.78,27.325,7.555,2.834,358.3,-4.181,0.224,169.233,280.53,-999.0
2019-05-10 15:00:00,-9.49,-9.09,31.276,7.308,4.111,344.7,-4.119,0.064,170.883,273.459,-999.0
2019-05-10 16:00:00,-9.43,-9.06,34.584,7.619,4.193,352.4,-3.946,0.069,171.539,269.762,-999.0
2019-05-10 17:00:00,-9.42,-9.23,30.463,11.65,6.117,344.9,-3.938,0.058,169.696,267.783,-999.0
2019-05-10 18:00:00,-10.26,-9.93,36.566,10.75,4.306,349.3,-3.187,0.016,189.327,267.457,-999.0
2019-05-10 19:00:00,-10.55,-10.26,47.253,11.45,4.973,341.3,-3.568,0.088,176.172,264.545,-999.0
2019-05-10 20:00:00,-10.93,-10.6,47.764,10.0,5.796,326.8,-3.614,0.068,172.59,262.073,-999.0
2019-05-10 21:00:00,-10.8,-10.55,38.498,8.57,4.284,342.6,-3.899,0.045,167.932,259.5,-999.0
2019-05-10 22:00:00,-11.36,-10.96,40.841,10.1,5.816,326.8,-3.696,0.048,166.97,258.508,-999.0
2019-05-10 23:00:00,-11.29,-11.05,39.994,8.9,4.662,327.0,-3.775,0.083,165.866,256.683,-999.0
2019-05-11 00:00:00,-11.5,-11.07,39.812,9.16,4.987,343.0,0.957,0.514,166.572,256.503,-999.0
2019-05-11 01:00:00,-11.18,-10.85,39.601,10.64,5.062,9.67,18.312,3.001,167.65,258.017,-999.0
2019-05-11 02:00:00,-11.41,-10.91,42.712,8.03,4.568,34.74,71.372,11.107,179.572,263.224,-999.0
2019-05-11 03:00:00,-11.06,-10.31,40.803,7.628,4.361,38.05,258.555,40.866,182.976,278.293,-999.0
2019-05-11 04:00:00,-10.38,-9.58,39.284,9.58,4.334,55.85,372.506,57.142,203.071,300.711,-999.0
2019-05-11 05:00:00,-10.04,-9.45,41.014,12.99,4.893,14.04,476.993,72.141,213.914,310.728,-999.0
2019-05-11 06:00:00,-9.36,-8.24,41.945,8.9,3.91,339.9,609.503,91.968,229.749,332.868,-999.0
2019-05-11 07:00:00,-9.95,-9.23,54.259,12.88,4.012,333.7,493.497,73.222,244.428,337.093,-999.0
2019-05-11 08:00:00,-8.37,-7.719,62.967,7.486,2.709,306.1,731.878,109.812,242.637,362.058,-999.0
2019-05-11 09:00:00,-9.97,-9.25,70.593,6.542,2.868,288.9,423.662,62.01,252.804,353.688,-999.0
2019-05-11 10:00:00,-11.01,-9.81,90.874,6.525,1.798,290.2,265.209,37.36,260.229,323.307,-999.0
2019-05-11 11:00:00,-10.38,-9.56,63.341,3.862,1.219,195.9,269.314,39.552,253.478,313.117,-999.0
2019-05-11 12:00:00,-9.75,-8.95,37.861,8.18,3.332,72.84,293.502,47.377,241.919,306.647,-999.0
2019-05-11 13:00:00,-10.71,-10.24,35.68,10.48,5.468,50.5,62.806,10.068,222.713,287.14,-999.0
2019-05-11 14:00:00,-9.95,-9.5,10.412,9.14,3.785,345.6,-3.632,0.102,177.444,269.429,-999.0
2019-05-11 15:00:00,-9.87,-9.56,12.224,9.85,5.741,340.4,-3.711,0.055,176.193,265.38,-999.0
2019-05-11 16:00:00,-10.91,-10.49,16.148,6.9,3.256,12.29,-2.507,0.034,205.362,266.708,-999.0
2019-05-11 17:00:00,-14.05,-13.59,81.084,6.267,1.953,353.9,-0.782,0.004,248.959,268.808,-999.0
2019-05-11 18:00:00,-10.89,-10.69,36.438,7.777,2.619,355.1,-1.245,0.076,232.463,266.449,-999.0
2019-05-11 19:00:00,-13.22,-12.96,63.861,5.931,0.823,309.1,-1.659,0.006,226.198,263.827,-999.0
2019-05-11 20:00:00,-13.91,-13.52,57.517,2.766,0.684,297.2,-1.948,0.007,212.626,260.886,-999.0
2019-05-11 21:00:00,-13.72,-13.31,43.685,2.685,0.987,350.7,-3.821,0.018,163.335,250.501,-999.0
2019-05-11 22:00:00,-12.98,-12.53,43.446,4.601,1.139,327.6,-3.585,0.058,164.715,247.821,-999.0
2019-05-11 23:00:00,-12.66,-12.3,45.741,6.77,3.275,46.0,-2.431,0.032,187.52,252.995,-999.0
2019-05-12 00:00:00,-13.89,-13.43,49.99,7.294,1.514,313.1,3.586,0.459,229.717,259.845,-999.0
2019-05-12 01:00:00,-14.19,-13.68,53.221,6.006,2.821,329.4,45.788,6.863,211.594,259.834,-999.0
2019-05-12 02:00:00,-14.47,-13.79,53.739,1.863,0.343,125.1,69.883,11.225,174.48,259.28,-999.0
2019-05-12 03:00:00,-13.74,-12.95,56.011,4.593,1.31,133.8,134.292,21.54,169.252,261.679,-999.0
2019-05-12 04:00:00,-10.83,-10.1,40.661,6.267,2.639,349.9,715.128,112.161,166.958,310.544,-999.0
2019-05-12 05:00:00,-11.06,-9.61,51.816,7.486,2.789,313.0,1215.869,187.263,190.816,395.211,-999.0
2019-05-12 06:00:00,-11.02,-10.23,45.81,6.464,3.008,303.9,1169.662,178.77,184.396,426.569,-999.0
2019-05-12 07:00:00,-10.53,-9.91,65.316,6.161,3.685,296.4,1126.111,170.599,201.909,423.003,-999.0
2019-05-12 08:00:00,-9.96,-8.68,62.955,5.714,2.209,271.6,1019.766,155.29,216.133,436.5,-999.0
2019-05-12 09:00:00,-10.66,-10.0,75.738,7.128,3.198,288.6,899.764,136.569,219.226,413.608,-999.0
2019-05-12 10:00:00,-10.34,-9.13,86.174,3.91,1.676,283.6,908.805,142.385,204.585,418.06,-999.0
2019-05-12 11:00:00,-10.95,-9.67,93.718,2.621,0.967,255.1,508.533,82.118,210.366,384.865,-999.0
2019-05-12 12:00:00,-8.93,-8.29,41.171,5.487,1.197,279.0,192.406,31.543,212.216,335.824,-999.0
2019-05-12 13:00:00,-8.9,-8.54,43.528,7.43,1.218,294.6,52.233,9.359,208.073,306.204,-999.0
2019-05-12 14:00:00,-12.53,-12.09,99.252,3.879,1.443,247.8,-2.664,0.243,214.013,287.01,-999.0
2019-05-12 15:00:00,-12.15,-11.65,89.377,4.29,1.119,5.983,-3.138,0.242,190.186,273.459,-999.0
2019-05-12 16:00:00,-11.33,-11.03,71.979,3.896,1.189,166.1,-1.309,0.164,236.486,275.897,-999.0
2019-05-12 17:00:00,-10.84,-10.37,72.593,5.381,2.151,301.1,-1.114,0.048,245.162,277.853,-999.0
2019-05-12 18:00:00,-11.44,-11.12,80.943,4.848,1.67,183.7,-2.35,0.047,215.733,273.024,-999.0
2019-05-12 19:00:00,-10.32,-10.1,28.819,4.587,2.135,35.8,-3.742,0.045,171.593,263.969,-999.0
2019-05-12 20:00:00,-11.66,-11.41,33.9,5.034,1.516,321.1,-4.053,0.017,169.39,258.873,-999.0
2019-05-12 21:00:00,-13.03,-12.8,43.686,2.893,0.915,107.8,-4.051,0.015,163.233,253.789,-999.0
2019-05-12 22:00:00,-12.65,-12.22,44.34,4.518,1.519,108.3,-3.799,0.073,160.724,250.422,-999.0
2019-05-12 23:00:00,-13.38,-13.17,53.863,7.264,1.761,16.49,-3.567,0.038,167.224,252.389,-999.0
2019-05-13 00:00:00,-14.14,-13.86,70.523,5.495,1.454,307.8,2.27,0.467,189.025,253.99,-999.0
2019-05-13 01:00:00,-14.75,-14.39,70.265,2.219,0.611,130.6,17.389,2.771,169.42,250.858,-999.0
2019-05-13 02:00:00,-14.75,-14.11,71.298,2.702,0.64,111.2,58.002,9.261,165.847,252.35,-999.0
2019-05-13 03:00:00,-12.66,-11.1,64.585,2.654,0.587,175.3,314.188,51.005,171.884,275.987,-999.0
2019-05-13 04:00:00,-10.26,-8.84,57.302,1.919,0.812,240.1,796.991,123.01,218.58,356.615,-999.0
2019-05-13 05:00:00,-11.11,-10.1,100.0,4.762,1.451,282.0,545.786,80.75,245.067,364.115,-999.0
2019-05-13 06:00:00,-10.75,-9.76,100.0,4.276,1.259,247.6,438.571,58.645,257.984,330.085,-999.0
2019-05-13 07:00:00,-11.13,-10.43,97.806,4.04,1.657,289.8,359.101,49.861,263.258,314.999,-999.0
2019-05-13 08:00:00,-11.08,-9.65,99.654,6.306,2.07,293.7,410.642,115.57,262.089,303.313,-999.0
2019-05-13 09:00:00,-10.66,-10.02,100.0,4.498,2.032,283.3,523.244,123.059,259.467,313.071,-999.0
2019-05-13 10:00:00,-10.03,-8.84,98.684,6.8,1.859,289.6,700.062,141.373,247.579,328.295,-999.0
2019-05-13 11:00:00,-10.16,-9.13,98.817,6.461,1.581,292.3,528.613,97.735,232.949,331.067,-999.0
2019-05-13 12:00:00,-12.18,-11.33,99.904,2.305,0.58,255.5,245.648,46.284,211.678,316.205,-999.0
2019-05-13 13:00:00,-14.29,-12.75,80.356,4.909,1.4,276.3,22.905,5.581,206.28,284.293,-999.0
2019-05-13 14:00:00,-12.56,-11.89,32.134,5.126,2.372,346.1,-4.431,0.156,154.638,262.922,-999.0
2019-05-13 15:00:00,-10.67,-10.55,15.964,4.32,1.791,49.32,-4.277,0.105,153.784,256.87,-999.0
2019-05-13 16:00:00,-12.15,-11.92,19.568,4.495,2.497,101.1,-4.325,0.004,155.434,254.746,-999.0
2019-05-13 17:00:00,-12.46,-12.42,22.613,5.501,2.656,94.0,-4.163,0.019,155.285,252.289,-999.0
2019-05-13 18:00:00,-11.03,-11.15,20.255,5.134,3.1,105.4,-4.144,0.001,154.796,250.046,-999.0
2019-05-13 19:00:00,-12.1,-11.74,23.465,4.107,2.281,104.1,-4.18,0.004,155.905,248.387,-999.0
2019-05-13 20:00:00,-11.81,-11.68,21.153,3.726,1.191,65.63,-4.124,0.027,157.89,248.122,-999.0
2019-05-13 21:00:00,-11.6,-11.67,18.321,4.537,1.402,94.0,-4.223,0.004,158.084,246.571,-999.0
