TIMESTAMP,T_HMP,T_109,RH,WS_MAX,WS_AVG,WDIR,WS_MAX_2,WS_AVG_2,WDIR_2,SW_IN_AVG,SW_OUT_AVG,LW_IN_AVG,LW_OUT_AVG,PRESS
2019-05-22 06:00:00,-17.79,-17.99,63.739,14.56,8.47,253.6,14.96,8.68,99.0,1283.072,149.762,162.053,316.374,380.83
2019-05-22 07:00:00,-17.96,-17.58,53.888,15.33,9.58,250.3,15.46,9.83,102.6,1219.096,155.51,163.17,334.831,380.61
2019-05-22 08:00:00,-17.72,-17.39,70.61,17.93,10.69,257.4,17.99,10.89,95.5,1115.586,151.375,171.697,342.222,380.34
2019-05-22 09:00:00,-17.31,-16.97,65.076,18.23,10.84,254.8,18.53,11.12,98.0,871.122,122.97,199.405,332.917,380.23
2019-05-22 10:00:00,-18.23,-18.02,99.992,18.56,9.61,252.5,18.29,9.79,100.7,477.187,67.014,221.663,308.091,380.02
2019-05-22 11:00:00,-19.14,-19.0,98.445,14.93,8.38,250.4,15.36,8.44,102.0,240.49,44.281,226.319,275.682,379.85
2019-05-22 12:00:00,-18.96,-18.81,98.37,8.56,4.792,240.6,8.7,4.302,112.1,134.382,33.563,226.114,267.111,380.07
2019-05-22 13:00:00,-20.6,-20.48,99.567,12.5,5.056,241.8,12.36,5.01,110.8,42.154,13.11,183.692,249.948,380.22
2019-05-22 14:00:00,-20.99,-20.81,100.0,10.83,4.222,245.1,10.96,4.213,108.4,-2.461,1.25,196.405,242.303,380.51
2019-05-22 15:00:00,-19.99,-19.8,63.81,10.0,2.847,267.5,10.0,2.835,84.6,-1.509,0.964,207.998,242.049,380.58
2019-05-22 16:00:00,-19.07,-19.06,43.499,7.297,1.267,280.5,7.031,1.37,46.42,-1.363,0.863,212.357,241.886,380.68
2019-05-22 17:00:00,-18.69,-18.76,69.429,5.331,0.73,1.892,4.931,0.704,28.29,-1.432,0.535,215.442,241.844,380.61
2019-05-22 18:00:00,-20.75,-20.72,91.981,8.86,3.882,71.02,8.7,3.783,279.4,-1.851,0.235,206.248,237.349,380.06
2019-05-22 19:00:00,-21.13,-21.1,87.455,9.56,3.997,77.22,9.53,3.853,272.3,-0.566,0.609,215.887,235.638,380.02
2019-05-22 20:00:00,-20.75,-20.73,100.0,0.666,0.029,116.3,0.7,0.038,112.0,-0.625,0.521,222.091,237.374,379.66
2019-05-22 21:00:00,-20.88,-20.82,98.067,7.464,1.378,207.1,7.664,1.337,138.3,-1.031,0.497,222.65,234.523,379.33
2019-05-22 22:00:00,-20.7,-20.79,92.636,6.264,3.211,215.5,6.297,3.111,135.4,-3.129,1.049,208.37,228.355,379.28
2019-05-22 23:00:00,-21.39,-21.37,97.945,7.33,3.378,218.4,7.364,3.244,134.0,-2.3,0.648,207.631,226.403,379.36
2019-05-23 00:00:00,-21.6,-21.52,100.0,7.23,4.757,230.9,7.53,4.756,122.2,54.753,11.881,193.217,222.562,379.48
2019-05-23 01:00:00,-21.37,-21.05,71.253,9.93,6.262,237.1,10.13,6.358,115.7,337.577,80.811,162.212,225.453,379.83
2019-05-23 02:00:00,-21.41,-21.16,66.836,10.56,7.093,240.0,11.03,7.248,112.8,584.873,170.672,129.417,235.401,380.33
2019-05-23 03:00:00,-20.71,-20.47,29.932,14.39,6.833,253.2,14.33,7.0,99.1,872.402,230.643,134.45,252.562,380.49
2019-05-23 04:00:00,-19.84,-19.67,36.542,12.63,7.875,273.4,12.69,8.13,79.37,1091.634,216.498,138.067,276.635,380.56
2019-05-23 05:00:00,-19.51,-19.26,46.428,13.23,7.866,254.6,13.49,8.11,98.3,1264.074,182.974,146.008,305.278,380.47
2019-05-23 06:00:00,-18.67,-18.36,81.316,15.69,9.3,252.7,16.03,9.56,100.0,1334.043,175.935,155.742,326.27,380.29
2019-05-23 07:00:00,-18.94,-18.71,98.226,18.16,9.51,252.0,19.03,9.75,100.8,604.815,94.099,227.07,305.512,380.08
2019-05-23 08:00:00,-19.18,-18.92,100.0,19.03,10.9,250.3,19.53,11.26,102.5,754.477,124.104,224.041,300.719,379.68
2019-05-23 09:00:00,-18.64,-18.47,99.476,21.29,11.88,252.3,21.46,12.29,100.8,729.871,119.514,228.433,301.257,379.41
2019-05-23 10:00:00,-19.05,-18.95,100.0,25.09,13.47,252.3,26.36,14.04,100.0,527.345,85.314,227.563,290.366,378.77
2019-05-23 11:00:00,-19.16,-19.02,100.0,23.02,9.22,245.9,23.76,9.43,108.0,242.68,60.383,232.837,262.91,379.39
2019-05-23 12:00:00,-19.71,-19.44,99.193,14.33,7.698,244.0,14.46,7.895,109.1,330.922,123.288,183.126,261.188,379.56
2019-05-23 13:00:00,-20.07,-19.46,99.346,13.53,7.753,232.7,14.13,7.986,119.7,136.636,59.865,147.358,253.58,379.66
2019-05-23 14:00:00,-20.9,-20.73,88.272,14.76,8.06,228.7,14.93,8.29,124.1,-4.302,1.067,133.205,230.961,379.81
2019-05-23 15:00:00,-20.92,-20.83,90.989,15.76,8.09,237.9,16.26,8.32,115.3,-4.962,0.9,126.389,222.14,380.0
2019-05-23 16:00:00,-21.35,-21.23,87.71,14.43,7.186,225.4,14.89,7.413,128.4,-4.729,0.866,127.647,218.171,-999.0
2019-05-23 17:00:00,-21.44,-21.34,79.235,12.56,5.059,197.9,12.83,5.172,154.3,-5.023,0.981,121.541,213.995,-999.0
2019-05-23 18:00:00,-21.7,-21.66,86.139,12.0,4.502,228.9,12.33,4.637,122.1,-5.032,0.985,126.876,212.493,380.38
2019-05-23 19:00:00,-21.83,-21.65,69.377,11.3,5.827,222.9,11.16,5.993,130.5,-5.034,0.939,119.249,209.98,380.2
2019-05-23 20:00:00,-21.78,-21.68,70.091,9.56,3.074,223.3,9.63,3.246,133.6,-5.464,0.979,119.09,207.745,379.9
2019-05-23 21:00:00,-22.05,-21.98,62.728,9.13,4.256,208.7,9.3,4.351,143.5,-4.975,1.07,119.166,206.289,379.58
2019-05-23 22:00:00,-21.57,-21.54,43.282,9.0,3.351,207.0,8.93,3.484,145.6,-5.049,1.193,117.77,204.798,379.79
2019-05-23 23:00:00,-21.39,-21.3,55.963,10.8,6.293,228.5,11.56,6.511,124.6,-5.01,0.636,120.966,206.21,379.99
2019-05-24 00:00:00,-21.42,-21.25,47.883,14.26,7.747,242.2,14.79,7.915,110.6,45.893,8.279,124.554,208.904,380.55
2019-05-24 01:00:00,-20.57,-20.37,36.916,13.49,8.62,245.8,14.06,8.95,107.1,282.002,46.02,128.44,218.934,380.8
2019-05-24 02:00:00,-20.0,-19.83,36.571,11.83,7.265,244.5,12.33,7.407,108.1,562.381,99.033,132.453,236.121,381.3
2019-05-24 03:00:00,-19.22,-18.99,34.084,11.2,5.684,251.9,11.66,5.934,101.5,820.648,145.319,137.005,260.429,381.5
2019-05-24 04:00:00,-18.65,-18.39,34.923,10.13,6.131,248.7,10.4,6.282,103.9,1030.974,177.863,140.827,285.523,381.59
2019-05-24 05:00:00,-17.75,-17.57,42.306,12.06,7.007,260.7,12.33,7.268,91.7,1197.289,190.39,145.025,310.159,381.64
2019-05-24 06:00:00,-17.29,-17.14,50.533,13.93,8.87,260.9,14.56,9.33,92.1,1302.477,197.965,149.848,327.034,381.49
2019-05-24 07:00:00,-16.78,-16.55,54.277,16.56,10.59,254.7,17.23,11.07,97.9,1313.772,195.243,157.033,336.089,381.22
2019-05-24 08:00:00,-16.26,-16.06,71.454,16.19,10.17,253.6,16.63,10.62,99.4,1031.163,152.916,189.294,335.831,381.08
2019-05-24 09:00:00,-16.01,-15.72,82.08,14.19,9.56,251.6,14.83,9.97,101.0,908.799,138.245,206.866,334.541,380.75
2019-05-24 10:00:00,-16.0,-15.78,73.207,17.69,10.94,251.1,18.19,11.44,101.5,647.668,125.349,184.224,323.752,380.53
2019-05-24 11:00:00,-16.87,-16.69,55.02,18.59,10.79,254.7,19.56,11.24,98.3,537.655,83.91,211.587,307.462,380.35
2019-05-24 12:00:00,-17.13,-16.89,99.388,17.39,9.41,248.5,17.89,9.77,104.5,464.113,79.137,198.713,297.509,380.38
2019-05-24 13:00:00,-17.75,-17.38,81.924,13.19,7.324,238.1,13.63,7.445,115.0,154.832,35.485,188.245,280.855,380.49
2019-05-24 14:00:00,-18.98,-18.99,69.786,9.2,2.595,219.6,9.26,2.658,130.8,-5.321,2.236,138.823,246.788,380.9
2019-05-24 15:00:00,-18.49,-18.64,55.752,12.3,2.08,138.1,12.36,2.225,200.6,-5.285,1.67,139.567,236.492,381.09
2019-05-24 16:00:00,-18.58,-18.81,41.58,5.531,0.954,156.1,5.398,1.071,180.8,-3.721,1.589,161.575,234.169,381.08
2019-05-24 17:00:00,-17.87,-18.1,63.747,4.631,0.843,182.6,4.698,0.924,155.6,-3.206,1.293,174.734,235.207,380.94
2019-05-24 18:00:00,-18.12,-18.41,55.814,6.497,2.165,181.7,6.497,2.105,168.3,-3.964,1.243,155.661,228.914,380.67
2019-05-24 19:00:00,-18.85,-19.17,73.827,5.598,2.218,205.5,5.631,2.183,144.0,-4.318,1.177,146.644,224.496,380.55
2019-05-24 20:00:00,-19.44,-19.46,92.991,10.33,6.034,246.5,10.9,6.161,106.4,-3.553,0.804,162.861,225.667,380.1
2019-05-24 21:00:00,-19.68,-19.69,74.854,17.26,9.66,249.4,17.36,9.86,103.0,-4.034,0.546,143.521,222.623,379.56
2019-05-24 22:00:00,-19.88,-19.87,66.705,14.93,7.569,244.8,14.99,7.747,108.2,-4.409,0.908,137.287,220.563,379.69
2019-05-24 23:00:00,-19.53,-19.55,43.379,19.93,10.72,248.8,20.79,11.01,103.8,-4.632,0.593,129.503,217.581,379.32
2019-05-25 00:00:00,-20.23,-20.18,47.715,18.33,11.31,249.7,18.89,11.62,103.1,49.36,6.801,127.845,216.665,379.58
2019-05-25 01:00:00,-20.15,-20.04,34.18,21.82,12.87,251.1,21.96,13.22,101.7,273.679,30.931,125.973,223.284,379.82
2019-05-25 02:00:00,-20.04,-19.91,32.477,20.19,11.92,252.3,21.36,12.38,100.2,562.417,66.122,129.897,238.567,380.09
2019-05-25 03:00:00,-19.07,-19.01,29.303,26.12,15.28,262.4,26.36,15.8,90.2,820.779,99.405,133.286,255.691,380.25
2019-05-25 04:00:00,-19.02,-19.14,12.18,26.49,13.66,263.6,27.09,14.07,89.4,1076.247,131.328,128.709,276.948,380.37
2019-05-25 05:00:00,-18.61,-18.45,19.755,26.92,14.35,257.4,28.29,14.82,96.0,1233.484,148.404,129.968,292.391,380.06
2019-05-25 06:00:00,-17.87,-17.69,20.027,30.02,15.65,255.0,30.69,16.27,97.9,1308.146,161.196,134.248,305.984,379.89
2019-05-25 07:00:00,-17.77,-17.55,19.285,28.86,14.2,259.2,29.52,14.7,92.9,1277.142,163.619,133.242,316.673,379.73
2019-05-25 08:00:00,-17.5,-17.28,18.271,23.02,13.96,257.0,23.92,14.56,95.6,1185.854,154.846,134.006,320.105,379.07
2019-05-25 09:00:00,-17.12,-16.89,55.122,20.36,12.72,256.2,21.06,13.25,96.4,953.221,140.34,137.098,320.104,378.88
