TIMESTAMP,T_HMP,RH,PRECIP,WS_AVG,WDIR,WS_MAX,SW_IN_AVG,SW_OUT_AVG,LW_IN_AVG,LW_OUT_AVG,PRESS,SR50,height,oxypercent,T_109,WS_MAX_2,WS_AVG_2,WDIR_2,T_HMP_2,RH_2
2019-04-25 12:00:00,6.362,82.6,0.0,1.207,125.5,2.499,72.217,13.833,275.705,363.149,648.756,1.819,3810,,,,,,,
2019-04-26 12:00:00,7.825,86.1,0.0,1.507,128.0,3.61,72.267,14.117,301.617,374.276,647.105,1.82,3810,,,,,,,
2019-04-27 12:00:00,7.299,93.6,0.0,1.967,135.5,3.61,67.883,13.067,332.522,378.332,645.977,1.818,3810,,,,,,,
2019-04-28 12:00:00,8.27,89.6,0.0,1.99,126.2,3.776,64.633,12.067,300.438,374.586,646.402,1.818,3810,,,,,,,
2019-04-29 12:00:00,7.976,85.2,0.0,2.356,135.3,4.72,59.333,11.117,320.126,374.319,646.087,1.819,3810,,,,,,,
2019-04-30 12:00:00,8.47,77.75,0.0,1.016,136.1,2.777,95.667,19.2,283.134,376.796,645.792,1.819,3810,,,,,,,
2019-05-01 12:00:00,8.55,82.3,0.0,2.408,140.5,4.443,60.033,11.383,271.961,367.328,645.735,1.819,3810,,,,,,,
2019-05-02 12:00:00,8.1,78.9,0.0,1.995,135.5,3.332,58.883,11.383,293.123,369.356,646.64,1.819,3810,,,,,,,
2019-05-03 12:00:00,5.847,98.7,0.0,0.832,128.1,1.666,34.517,4.3,336.71,360.767,646.867,1.818,3810,,,,,,,
2019-05-04 12:00:00,6.203,99.7,0.0,0.706,120.2,1.666,29.617,2.917,346.25,360.751,644.849,1.819,3810,,,,,,,
2019-05-05 12:00:00,7.253,83.0,0.0,2.2,124.3,4.443,100.433,19.35,302.121,370.464,645.275,1.822,3810,,,,,,,
2019-05-06 12:00:00,4.849,93.2,0.0,2.291,140.2,4.776,30.75,5.333,331.558,362.136,644.558,1.82,3810,,,,,,,
2019-05-07 12:00:00,6.952,89.3,0.0,1.856,142.2,3.332,60.85,12.0,326.139,371.486,645.53,1.819,3810,,,,,,,
2019-05-08 12:00:00,7.623,88.4,0.0,1.808,129.8,3.388,64.283,12.883,320.117,371.055,644.547,1.819,3810,,,,,,,
2019-05-09 12:00:00,8.68,87.7,0.0,2.318,136.3,5.498,75.667,16.033,332.611,382.093,644.696,1.819,3810,,,,,,,
2019-05-10 12:00:00,8.57,87.3,0.0,2.05,132.7,3.388,54.583,10.633,313.694,377.59,646.954,1.818,3810,,,,,,,
2019-05-11 12:00:00,8.79,78.93,0.0,1.828,134.3,5.609,78.233,16.7,297.202,372.998,647.372,1.82,3810,,,,,,,
2019-05-12 12:00:00,7.156,69.56,0.0,0.446,126.7,1.666,111.133,24.133,286.377,376.447,645.365,1.819,3810,,,,,,,
2019-05-13 12:00:00,4.227,88.1,0.0,1.145,116.1,3.722,64.65,9.233,306.577,345.233,646.203,1.819,3810,,,,,,,
2019-05-14 12:00:00,4.218,88.7,0.0,2.916,133.9,4.942,37.15,6.65,328.449,358.384,645.302,1.819,3810,,,,,,,
2019-05-15 12:00:00,5.107,89.4,0.0,2.238,141.6,4.443,57.35,10.917,331.086,363.251,645.979,1.819,3810,,,,,,,
2019-05-16 12:00:00,6.162,92.9,0.0,1.594,132.0,3.776,48.617,8.283,286.783,355.941,646.33,1.819,3810,,,,,,,
2019-05-17 12:00:00,8.07,83.4,0.0,1.625,133.7,2.888,69.9,14.083,312.597,380.75,645.814,1.818,3810,,,,,,,
2019-05-18 12:00:00,7.723,74.66,0.0,2.538,134.9,4.165,79.25,16.483,281.318,366.865,645.767,1.818,3810,,,,,,,
2019-05-19 12:00:00,6.742,91.2,0.0,1.823,133.6,3.721,52.7,10.15,311.432,371.847,647.668,1.82,3810,,,,,,,
