,T_HMP,WDIR,WS_MAX,SW_IN_AVG,SW_OUT_AVG,LW_IN_AVG,LW_OUT_AVG,PRESS,height,RH,oxypercent
0,6.362,125.5,2.499,72.217,13.833,275.705,363.149,648.756,3810,82.6,51.65950271729011
1,7.825,128.0,3.61,72.267,14.117,301.617,374.276,647.105,3810,86.1,51.65950271729011
2,7.299,135.5,3.61,67.883,13.067,332.522,378.332,645.977,3810,93.6,51.65950271729011
3,8.27,126.2,3.776,64.633,12.067,300.438,374.586,646.402,3810,89.6,51.65950271729011
4,7.976,135.3,4.72,59.333,11.117,320.126,374.319,646.087,3810,85.2,51.65950271729011
5,8.47,136.1,2.777,95.667,19.2,283.134,376.796,645.792,3810,77.75,51.65950271729012
6,8.55,140.5,4.443,60.033,11.383,271.961,367.328,645.735,3810,82.3,51.65950271729011
7,8.1,135.5,3.332,58.883,11.383,293.123,369.356,646.64,3810,78.9,51.65950271729011
8,5.847,128.1,1.666,34.517,4.3,336.71,360.767,646.867,3810,98.7,51.65950271729011
9,6.203,120.2,1.666,29.617,2.917,346.25,360.751,644.849,3810,99.7,51.65950271729011
10,7.253,124.3,4.443,100.433,19.35,302.121,370.464,645.275,3810,83.0,51.65950271729012
11,4.849,140.2,4.776,30.75,5.333,331.558,362.136,644.558,3810,93.2,51.65950271729011
12,6.952,142.2,3.332,60.85,12.0,326.139,371.486,645.53,3810,89.3,51.65950271729011
13,7.623,129.8,3.388,64.283,12.883,320.117,371.055,644.547,3810,88.4,51.65950271729011
14,8.68,136.3,5.498,75.667,16.033,332.611,382.093,644.696,3810,87.7,51.65950271729011
15,8.57,132.7,3.388,54.583,10.633,313.694,377.59,646.954,3810,87.3,51.65950271729011
16,8.79,134.3,5.609,78.233,16.7,297.202,372.998,647.372,3810,78.93,51.65950271729012
17,7.156,126.7,1.666,111.133,24.133,286.377,376.447,645.365,3810,69.56,51.65950271729012
18,4.227,116.1,3.722,64.65,9.233,306.577,345.233,646.203,3810,88.1,51.65950271729011
19,4.218,133.9,4.942,37.15,6.65,328.449,358.384,645.302,3810,88.7,51.65950271729011
20,5.107,141.6,4.443,57.35,10.917,331.086,363.251,645.979,3810,89.4,51.65950271729011
21,6.162,132.0,3.776,48.617,8.283,286.783,355.941,646.33,3810,92.9,51.65950271729011
22,8.07,133.7,2.888,69.9,14.083,312.597,380.75,645.814,3810,83.4,51.65950271729012
23,7.723,134.9,4.165,79.25,16.483,281.318,366.865,645.767,3810,74.66,51.65950271729012
24,6.742,133.6,3.721,52.7,10.15,311.432,371.847,647.668,3810,91.2,51.6595027172901
25,7.174,119.0,2.888,68.6,13.0,270.75,361.747,647.5,3810,83.5,51.65950271729011
26,7.369,131.5,3.721,81.533,15.833,319.272,374.559,647.888,3810,88.1,51.65950271729011
27,6.758,62.38,1.777,45.617,7.05,303.019,356.491,647.033,3810,77.49,51.65950271729011
28,7.57,134.0,4.165,86.117,17.217,318.809,379.546,645.773,3810,81.9,51.65950271729012
29,8.4,128.0,2.555,40.117,7.117,334.181,381.987,645.53,3810,93.0,51.65950271729011
30,8.98,132.0,3.388,108.883,22.517,302.565,385.497,643.545,3810,80.6,51.65950271729011
31,7.825,126.2,3.943,87.667,17.667,330.408,387.827,645.109,3810,93.2,51.65950271729012
32,8.41,130.0,4.998,83.267,16.65,301.99,377.695,645.851,3810,89.5,51.65950271729011
33,8.71,136.0,4.221,91.533,18.333,311.271,384.663,645.108,3810,84.4,51.65950271729011
34,7.374,137.5,4.942,79.933,15.7,324.551,381.053,644.934,3810,89.9,51.65950271729011
35,7.011,122.0,3.054,47.65,8.667,326.028,373.881,644.616,3810,85.3,51.65950271729011
36,7.499,111.5,2.721,123.033,17.2,317.829,371.692,645.818,3810,78.28,51.65950271729011
37,8.37,78.86,1.722,89.55,16.333,297.151,367.691,646.281,3810,67.53,51.65950271729011
38,4.97,120.8,4.72,45.05,7.517,330.263,356.019,646.9,3810,87.0,51.6595027172901
39,5.81,134.1,3.61,23.4,3.833,337.868,365.573,645.937,3810,93.7,51.6595027172901
40,8.71,132.8,3.443,70.417,13.25,347.113,391.657,645.971,3810,89.8,51.65950271729011
41,8.58,138.1,3.443,31.233,5.567,356.668,378.914,646.198,3810,99.3,51.65950271729011
42,8.98,107.1,2.388,34.383,5.717,354.688,383.998,647.804,3810,96.1,51.65950271729011
43,9.72,134.1,4.109,108.883,21.433,340.837,392.3,647.788,3810,89.4,51.65950271729011
44,9.67,137.9,4.609,127.333,25.9,337.117,399.692,646.682,3810,89.0,51.65950271729011
45,9.06,136.2,4.555,90.033,17.05,338.781,385.374,644.919,3810,95.1,51.6595027172901
46,8.59,140.1,5.664,57.233,9.317,339.026,372.787,644.665,3810,86.5,51.65950271729011
47,9.38,127.0,2.443,74.067,13.967,334.373,393.136,645.036,3810,91.9,51.65950271729011
48,10.1,125.0,3.11,89.8,17.383,333.721,402.615,646.027,3810,91.7,51.65950271729011
49,10.37,134.9,3.11,86.133,16.517,349.461,397.409,645.696,3810,90.4,51.65950271729011
50,11.19,135.8,3.332,122.5,23.667,340.07,396.053,645.052,3810,94.1,51.65950271729011
51,10.21,140.7,3.388,58.2,10.867,357.365,391.421,644.258,3810,94.8,51.6595027172901
52,9.89,131.8,3.388,58.917,10.833,356.319,384.915,644.149,3810,92.0,51.65950271729011
53,9.99,130.2,5.22,50.5,8.467,348.385,380.738,643.452,3810,84.4,51.6595027172901
54,9.24,121.7,3.499,66.233,12.067,323.414,380.407,644.217,3810,96.5,51.65950271729011
55,9.55,118.1,2.499,96.883,18.5,348.897,391.22,645.082,3810,95.7,51.65950271729011
56,9.68,131.7,2.999,63.433,9.767,355.654,379.04,645.986,3810,99.1,51.6595027172901
57,10.01,134.3,4.665,41.317,7.083,355.984,393.298,647.193,3810,91.2,51.65950271729011
58,10.46,129.5,3.776,61.683,8.25,353.019,377.322,648.047,3810,90.2,51.65950271729011
59,11.45,136.4,5.331,150.417,27.867,332.835,395.929,648.819,3810,87.9,51.65950271729012
60,11.69,130.2,2.777,115.833,21.817,355.958,402.824,648.361,3810,93.9,51.6595027172901
61,12.37,122.0,2.61,88.283,16.617,346.917,405.53,647.69,3810,90.1,51.65950271729012
62,11.65,132.6,2.277,81.833,14.9,360.007,399.25,644.95,3810,96.5,51.65950271729011
63,10.68,126.7,2.332,58.317,9.717,352.067,384.832,642.936,3810,97.7,51.65950271729011
64,9.58,135.2,2.721,36.317,5.683,362.948,373.295,643.221,3810,99.9,51.65950271729011
65,9.38,111.1,1.999,27.617,4.317,360.673,379.101,644.163,3810,99.5,51.65950271729011
66,11.34,121.8,2.332,143.55,23.8,335.739,398.702,645.344,3810,91.2,51.65950271729011
67,11.71,124.7,3.11,105.3,17.433,355.341,413.853,645.251,3810,88.9,51.65950271729011
68,12.38,138.5,3.554,116.1,19.617,348.463,410.935,645.781,3810,96.0,51.65950271729011
69,11.32,131.9,4.221,54.633,8.517,369.627,396.61,645.913,3810,98.6,51.65950271729012
70,11.65,129.5,2.943,89.683,14.9,366.873,404.326,644.893,3810,95.9,51.65950271729011
71,11.54,121.8,4.332,121.25,20.617,356.615,403.551,643.336,3810,95.8,51.65950271729011
72,11.66,128.0,3.054,111.283,19.533,345.33,402.656,642.281,3810,93.1,51.65950271729011
73,10.43,130.8,4.554,51.383,3.833,362.616,377.755,643.434,3810,97.5,51.65950271729012
74,10.79,132.0,2.888,62.083,5.833,364.857,382.901,643.407,3810,98.3,51.65950271729011
75,9.99,138.0,4.998,24.95,1.983,360.123,375.281,643.648,3810,95.1,51.65950271729012
76,10.01,127.6,1.999,44.95,3.967,361.537,380.79,642.778,3810,99.2,51.65950271729011
77,8.88,138.2,7.053,41.217,3.383,357.025,368.516,644.374,3810,98.9,51.65950271729012
78,8.52,139.3,1.777,120.233,12.383,349.47,380.606,645.192,3810,99.2,51.65950271729011
79,8.83,122.6,2.332,76.733,7.333,350.999,379.694,643.085,3810,95.3,51.65950271729011
80,9.33,133.3,4.887,103.467,10.033,358.48,377.557,642.101,3810,99.3,51.65950271729011
81,8.89,128.7,3.165,70.633,6.717,346.207,372.493,642.77,3810,99.2,51.65950271729011
82,9.02,131.4,3.276,53.05,4.85,356.341,378.581,644.853,3810,99.7,51.65950271729011
83,10.21,131.9,3.332,79.483,8.267,327.835,384.579,645.789,3810,95.4,51.65950271729012
84,10.91,114.0,2.332,87.133,8.783,336.258,386.037,646.515,3810,92.8,51.6595027172901
85,9.78,129.6,2.555,24.983,1.783,359.651,382.117,647.198,3810,97.8,51.65950271729011
86,10.06,124.6,3.165,52.767,5.183,359.962,384.94,647.283,3810,99.1,51.65950271729012
