TIMESTAMP,T_HMP,T_109,RH,WS_MAX,WS_AVG,WDIR,SW_IN_AVG,SW_OUT_AVG,LW_IN_AVG,LW_OUT_AVG,PRESS,height,oxypercent
2019-11-05 12:00:00,-10.71,-10.36,27.923,5.753,2.258,50.6,2.142,1.105,164.542,268.888,458.728,6464,
2019-11-06 12:00:00,-10.76,-10.57,42.658,7.719,2.798,336.5,6.314,1.623,194.067,272.2,459.772,6464,
2019-11-07 12:00:00,-14.93,-14.73,89.38,4.157,0.892,335.7,1.453,0.834,163.159,253.637,460.522,6464,
2019-11-08 12:00:00,-11.55,-11.28,14.741,8.95,3.929,11.3,1.327,0.86,167.329,259.319,462.063,6464,
2019-11-09 12:00:00,-9.07,-8.9,10.11,7.716,2.769,18.5,2.362,0.839,189.957,269.758,461.005,6464,
2019-11-10 12:00:00,-9.93,-9.6,19.86,7.522,3.058,13.83,1.327,0.832,163.299,262.24,460.912,6464,
2019-11-11 12:00:00,-11.82,-11.6,22.439,6.653,2.227,35.89,1.004,0.79,159.863,258.191,461.12,6464,
2019-11-12 12:00:00,-11.99,-11.74,22.806,6.289,2.282,76.47,0.509,0.681,157.929,258.751,463.313,6464,
2019-11-13 12:00:00,-10.06,-9.65,35.716,6.672,2.538,58.35,7.863,2.091,181.054,282.448,465.127,6464,
2019-11-14 12:00:00,-12.1,-11.87,26.05,5.14,1.088,300.9,6.431,1.706,179.353,269.279,464.123,6464,
2019-11-15 12:00:00,-11.9,-11.62,37.861,12.43,7.313,342.7,3.593,0.991,167.634,257.231,463.13,6464,
2019-11-16 12:00:00,-11.8,-11.42,54.391,15.1,8.92,340.5,9.616,1.651,207.312,263.495,462.903,6464,
2019-11-17 12:00:00,-11.31,-11.01,11.3,11.28,3.385,11.26,-0.116,0.582,153.123,257.141,461.4,6464,
2019-11-18 12:00:00,-12.15,-12.0,25.296,6.772,2.154,44.35,-0.026,0.588,161.448,258.575,460.723,6464,
2019-11-19 12:00:00,-14.32,-14.13,22.67,11.66,2.897,8.89,0.024,0.516,152.832,248.962,459.337,6464,
2019-11-20 12:00:00,-13.31,-13.0,24.91,8.12,1.938,342.5,-0.144,0.59,157.168,255.373,460.265,6464,
2019-11-21 12:00:00,-12.93,-12.73,20.288,5.153,2.181,295.3,0.031,0.68,157.019,253.594,461.4,6464,
2019-11-22 12:00:00,-9.61,-9.71,23.216,4.512,2.453,114.5,-2.115,0.328,166.035,266.203,462.362,6464,
2019-11-23 12:00:00,-11.7,-11.38,46.159,14.56,6.569,351.9,1.45,0.649,178.838,262.447,462.333,6464,
2019-11-24 12:00:00,-11.96,-11.65,32.653,9.07,3.675,13.07,0.013,0.487,178.877,261.691,461.583,6464,
2019-11-25 12:00:00,-16.41,-16.06,66.167,11.57,6.582,341.8,2.671,0.397,224.752,252.041,460.16,6464,
2019-11-26 12:00:00,-16.33,-16.0,17.591,9.47,4.429,34.66,-0.167,0.432,147.114,239.725,460.183,6464,
2019-11-27 12:00:00,-16.58,-16.22,29.567,8.9,4.657,38.42,-0.337,0.429,147.599,239.189,459.548,6464,
2019-11-28 12:00:00,-17.41,-16.83,15.791,10.55,5.438,36.85,-0.087,0.498,142.506,234.741,458.437,6464,
2019-11-29 12:00:00,-16.93,-16.61,58.575,11.51,6.665,356.3,2.562,0.384,-999.0,244.697,456.465,6464,
2019-11-30 12:00:00,-14.62,-14.31,9.742,10.25,4.592,47.84,-0.942,0.461,143.491,240.669,456.805,6464,
2019-12-01 12:00:00,-14.78,-14.39,12.489,15.19,6.275,71.26,-0.764,0.464,147.577,243.582,457.522,6464,
2019-12-02 12:00:00,-18.59,-18.18,20.708,6.789,3.756,343.3,-0.519,0.37,141.116,232.187,455.467,6464,
2019-12-03 12:00:00,-18.45,-18.09,14.824,6.639,2.949,316.9,-0.957,0.475,137.162,235.093,456.107,6464,
2019-12-04 12:00:00,-15.76,-15.43,15.886,6.606,3.58,321.5,-0.005,0.546,148.314,240.444,460.848,6464,
2019-12-05 12:00:00,-12.97,-12.69,25.823,5.348,2.926,105.0,-0.025,0.383,166.407,252.488,461.182,6464,
2019-12-06 12:00:00,-12.74,-12.59,16.348,6.181,1.794,80.7,-0.112,0.557,159.658,255.209,460.243,6464,
2019-12-07 12:00:00,-14.22,-14.0,9.366,6.797,2.656,127.1,-1.376,0.417,144.745,242.608,458.858,6464,
2019-12-08 12:00:00,-17.27,-16.88,20.72,5.82,2.166,107.6,-1.499,0.329,144.222,243.596,457.662,6464,
