TIMESTAMP,T_HMP,T_109,RH,WS_MAX,WS_AVG,WDIR,WS_MAX_2,WS_AVG_2,WDIR_2,SW_IN_AVG,SW_OUT_AVG,LW_IN_AVG,LW_OUT_AVG,PRESS,height,oxypercent
2019-05-23 12:00:00,-19.71,-19.44,99.193,14.33,7.698,244.0,14.46,7.895,109.1,330.922,123.288,183.126,261.188,379.56,7945,
2019-05-24 12:00:00,-17.13,-16.89,99.388,17.39,9.41,248.5,17.89,9.77,104.5,464.113,79.137,198.713,297.509,380.38,7945,
2019-05-25 12:00:00,-17.16,-16.91,14.579,21.99,12.58,260.7,22.19,13.04,91.5,375.707,62.238,118.141,278.324,378.41,7945,
2019-05-26 12:00:00,-16.52,-16.23,97.191,9.93,4.53,234.3,10.13,4.629,119.4,222.615,39.116,227.949,301.329,379.35,7945,
2019-05-27 12:00:00,-17.21,-16.45,76.121,9.23,4.588,244.5,9.16,4.578,108.4,354.662,61.128,148.557,306.885,379.78,7945,
2019-05-28 12:00:00,-15.2,-14.92,46.985,13.23,7.933,260.7,13.33,8.25,91.6,379.091,65.699,149.368,304.534,379.42,7945,
2019-05-29 12:00:00,-15.63,-15.25,64.825,11.33,6.568,265.2,11.3,6.758,87.9,349.793,60.988,162.268,310.337,378.98,7945,
2019-05-30 12:00:00,-15.32,-14.81,60.624,9.86,6.222,246.1,9.93,6.345,106.2,359.835,64.503,151.482,310.577,378.93,7945,
2019-05-31 12:00:00,-16.85,-15.43,98.253,5.998,2.144,257.6,6.031,1.977,94.3,315.658,178.558,209.128,289.764,379.77,7945,
2019-06-01 12:00:00,-16.88,-13.02,95.79,3.265,1.463,41.9,3.065,1.19,308.3,466.848,430.865,192.668,263.811,380.07,7945,
2019-06-02 12:00:00,-14.14,-13.19,97.5,6.764,3.841,268.6,6.864,3.768,84.5,442.686,254.018,198.535,295.558,380.08,7945,
2019-06-03 12:00:00,-16.77,-15.88,100.0,12.63,5.239,235.6,12.96,5.377,116.7,263.039,150.467,222.467,272.89,380.27,7945,
